"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"De las canciones oficiales, y no oficiales, de #AMLO, #Meade y #ElBronco, todas están horribles pero ""Yo te amlo"" e… https://t.co/uTx5KEPYFP",FALSE,0,NA,2018-06-06 16:08:32,TRUE,NA,"1004394618652446720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","janeth_joplin",0,FALSE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 16:01:07,FALSE,NA,"1004392750631063558",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FgsFabian",42,TRUE,FALSE,NA,NA
"RT @Pakomorfosis: @CoincaMx @rodelzanca @AltavozCancun @maurosossa @TheHomeDepotMx @PinturasComex @VivoEnCancun Porque ni #AMLO #Anaya #Mea…",FALSE,0,NA,2018-06-06 16:00:06,FALSE,NA,"1004392497093726208",NA,"<a href=""http://altavozcancun.wordpress.com"" rel=""nofollow"">Altavoz</a>","AltavozCancun",1,TRUE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 15:51:09,FALSE,NA,"1004390242646970368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DaveFra18",42,TRUE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 15:45:30,FALSE,NA,"1004388822120128512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robertososagar1",42,TRUE,FALSE,NA,NA
"#ElBronco también se reunió con universitarios, en Michoacán, y les prometió seguridad, fuentes de trabajo y buenos… https://t.co/HOm213slxx",FALSE,2,NA,2018-06-06 15:45:15,TRUE,NA,"1004388758911844352",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ADNPolitico",0,FALSE,FALSE,NA,NA
"RT @davidaustria: ¿Quién es Jaime Rodríguez Calderón @JaimeRdzNL “El Bronco”? (Análisis de @AMiMeDicenMune) #Elecciones2018 #ElBronco

http…",FALSE,0,NA,2018-06-06 15:41:15,FALSE,NA,"1004387753876971520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","porrotuitero",1,TRUE,FALSE,NA,NA
"@CoincaMx @rodelzanca @AltavozCancun @maurosossa @TheHomeDepotMx @PinturasComex @VivoEnCancun Porque ni #AMLO… https://t.co/DW674GY4L7",FALSE,0,"Pakomorfosis",2018-06-06 15:36:27,TRUE,"1004386476283613184","1004386545678389249","907627861825253376","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pakomorfosis",1,FALSE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 15:32:17,FALSE,NA,"1004385495902834688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jorgel16Ga",42,TRUE,FALSE,NA,NA
"RT @EdgardBuscaglia: Sobre el simulado #DebateINE entre #AMLO #Anaya #ElBronco #Meade y MZ:
- Estos 5 productos de la #mafiocracia nunca di…",FALSE,0,NA,2018-06-06 15:09:07,FALSE,NA,"1004379666927489024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","unifmx",107,TRUE,FALSE,NA,NA
