"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @juarezvero: #VotoÚtilxAnaya, #VotoInformado, es lo que México necesita, vamos por un cambio de régimen político donde se gobierne en co…",FALSE,0,NA,2018-06-06 16:15:10,FALSE,NA,"1004396286349586432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NvaIzq",1,TRUE,FALSE,NA,NA
"RT @CZavalaP: Si eres testigo de un delito electoral ¿a dónde debes acudir? #Elecciones2018 #VotoLibre https://t.co/gMttmHMTQB",FALSE,0,NA,2018-06-06 16:15:08,FALSE,NA,"1004396279814938625",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","INE_Sonora",24,TRUE,FALSE,NA,NA
"RT @radioamlo: #ElZócaloEsDeTodos
Firma petición para realizar el cierre de campaña de #Morena en el Ombligo de la Luna. 
#JuntosHaremosHis…",FALSE,0,NA,2018-06-06 16:15:08,FALSE,NA,"1004396277688233984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lupemonroy",27,TRUE,FALSE,NA,NA
"RT @ADNQro: #Elecciones2018 Sólo 323 candidatos, de más de 18 mil, han presentado su 3de3: @IntegridadMx <U+2B07><U+FE0F> https://t.co/HHc1z2b8iU",FALSE,0,NA,2018-06-06 16:15:00,FALSE,NA,"1004396248042897409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rafapinzon",1,TRUE,FALSE,NA,NA
"RT @El_Universal_Mx: #Elecciones2018| @RicardoAnayaC, @lopezobrador_ y  @JoseAMeadeK explican sus propuestas para fortalecer el mercado int…",FALSE,0,NA,2018-06-06 16:15:00,FALSE,NA,"1004396246927224833",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoguerroTwiins",3,TRUE,FALSE,NA,NA
"RT @INEMexico: El @INEMexico garantiza que las personas con discapacidad puedan fungir como funcionarios y funcionarias de casilla. Así lo…",FALSE,0,NA,2018-06-06 16:14:57,FALSE,NA,"1004396232075333633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DELEONPINTO1",22,TRUE,FALSE,NA,NA
"RT @El_Universal_Mx: #Elecciones2018 Empresarios del Consejo Mexicano de Negocios acordaron que si @lopezobrador_  gana la elección el 1 de…",FALSE,0,NA,2018-06-06 16:14:55,FALSE,NA,"1004396225377067008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GuadalupeMarga3",7,TRUE,FALSE,NA,NA
"#Elecciones2018 Sólo 323 candidatos, de más de 18 mil, han presentado su 3de3: @IntegridadMx <U+2B07><U+FE0F> https://t.co/HHc1z2b8iU",FALSE,0,NA,2018-06-06 16:14:52,FALSE,NA,"1004396213024813056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ADNQro",1,FALSE,FALSE,NA,NA
"#VotoÚtilxAnaya, #VotoInformado, es lo que México necesita, vamos por un cambio de régimen político donde se gobier… https://t.co/KnlqAkgqem",FALSE,1,NA,2018-06-06 16:14:44,TRUE,NA,"1004396180707725313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juarezvero",1,FALSE,FALSE,NA,NA
"Ante la negativa de los candidatos de #Jocotepec, solicitan debate al IEPC

La petición fue procedente, por lo que… https://t.co/HMYIklePsf",FALSE,0,NA,2018-06-06 16:14:35,TRUE,NA,"1004396142770229249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SemanarioLaguna",0,FALSE,FALSE,NA,NA
"RT @fffavela: Es muy fácil votar por el socialismo cuando no lo tienes que sufrir. Voto útil desde el extranjero. #VotoÚtil #EleccionesMexi…",FALSE,0,NA,2018-06-06 16:14:31,FALSE,NA,"1004396123006464000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abraham_vch",1,TRUE,FALSE,NA,NA
