"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ncv_Violeta: #PaseDeLista @epigmenioibarra 
Un #PRIAN Utilizando Todas sus Artimañas p/Permanecer En el Poder!
Lorenzo Córdova EL BUFÓN…",FALSE,0,NA,2018-06-06 16:07:23,FALSE,NA,"1004394330847494144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alexcastro81",193,TRUE,FALSE,NA,NA
"RT @jaymesifuentes: Cartón de MONSI. @vanguardiamx @NomadicaRevista @El_Chamuco @Pajaropolitico @brozoxmiswebs @julioastillero @KimArmengol…",FALSE,0,NA,2018-06-06 16:02:06,FALSE,NA,"1004393001202921472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Paria_social79",23,TRUE,FALSE,NA,NA
"#INE conoce las formas de marcar la boleta en las #Elecciones2018 en https://t.co/b8BqrKapn7  y ejerce tu #Voto.",FALSE,0,NA,2018-06-06 16:00:30,FALSE,NA,"1004392598763659264",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ConsulMexOxn",0,FALSE,FALSE,NA,NA
"RT @drummer_oficial: Ya se Esta cocinando el fraude en #CDMX a los Trabajadores de el Gobierno los altos Mandos les están pidiendo de 15 a…",FALSE,0,NA,2018-06-06 16:00:25,FALSE,NA,"1004392577683124224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drummer_oficial",35,TRUE,FALSE,NA,NA
"RT @axtzco63: OJO TROPA! Esta cuenta está divulgando este  video de cómo supuestamente se puede votar! En el minuto 1:54 dicen q si ponen e…",FALSE,0,NA,2018-06-06 15:57:17,FALSE,NA,"1004391788902219776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rebe_mq",39,TRUE,FALSE,NA,NA
"RT @Cuauhtemoc_1521: En las elecciones del 3 de julio de 1955 las mujeres acuden por primera vez a las urnas a emitir su voto.  Se elegían…",FALSE,0,NA,2018-06-06 15:55:50,FALSE,NA,"1004391423544832000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Danielowsky3",103,TRUE,FALSE,NA,NA
"RT @jmorales1109: Equipo legal del Bronco amplia denuncia por la ilegal aplicación móvil para la recolección de apoyo ciudadano, cuyos prob…",FALSE,0,NA,2018-06-06 15:49:41,FALSE,NA,"1004389874529656833",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kiritoblack1",61,TRUE,FALSE,NA,NA
"@IBERO_mx @jorgeramosnews @JoseAMeadeK @lopezobrador_ Imagino que como informados de política y que enseñan en su u… https://t.co/9j8o2gKUdu",FALSE,0,"IBERO_mx",2018-06-06 15:43:05,TRUE,"1004084847072235522","1004388214663081984","90674648","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","victor_suwah",0,FALSE,FALSE,NA,NA
"RT @es_INE: ¿Todavía no conoces #Explica? es el portal divulgativo del #INE. Contiene vídeos, presentaciones, juegos…sobre actividad y cien…",FALSE,0,NA,2018-06-06 15:41:09,FALSE,NA,"1004387727222214656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hi2toriando",3,TRUE,FALSE,NA,NA
"RT @axtzco63: OJO TROPA! Esta cuenta está divulgando este  video de cómo supuestamente se puede votar! En el minuto 1:54 dicen q si ponen e…",FALSE,0,NA,2018-06-06 15:38:03,FALSE,NA,"1004386948700499969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","franklilly13",39,TRUE,FALSE,NA,NA
