"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @miletovich: Retweeted Monero Rape (@monerorape):

Otro problemita. Cartón en @El_Chamuco #Meade #Odebrecht https://t.co/1ReFCBZ79T http…",FALSE,0,NA,2018-06-06 16:13:09,FALSE,NA,"1004395778738180097",NA,"<a href=""http://www.viperit.com.br"" rel=""nofollow"">AutoPost Viper IT</a>","LavaJatoNews",1,TRUE,FALSE,NA,NA
"RT @EstamosConMeade: El #VotoÚtil es por #Meade.

Todo #México debe unirse para poder ser una potencia mundial, el único que puede lograrlo…",FALSE,0,NA,2018-06-06 16:12:12,FALSE,NA,"1004395542133248000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EstamosConMeade",268,TRUE,FALSE,NA,NA
"RT @monerorape: Otro problemita. Cartón en @El_Chamuco #Meade #Odebrecht https://t.co/oSMJk7fD0X",FALSE,0,NA,2018-06-06 16:11:58,FALSE,NA,"1004395484541341697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thierryparra46",375,TRUE,FALSE,NA,NA
"RT @EstamosConMeade: Así de sencillo: 

•Si votas por #AMLO, gana #AMLO.
•Si votas por #Bronco, gana #AMLO.
•Si votas por #Anaya, gana #AML…",FALSE,0,NA,2018-06-06 16:11:46,FALSE,NA,"1004395432552824832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EstamosConMeade",193,TRUE,FALSE,NA,NA
"#Elecciones2018 #VotoMasivoPorAMLO #AMLOPresidente  #RazonesParaVotarPorAMLO <U+0001F1F2><U+0001F1FD>

#Meade @JoseAMeadeK ... ""El $eñor… https://t.co/Jvt2tpqsP5",FALSE,0,NA,2018-06-06 16:10:54,TRUE,NA,"1004395214402998273",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eternumen",0,FALSE,FALSE,NA,NA
"El SPOT secreto de #Meade https://t.co/mBwRFWyruX",FALSE,0,NA,2018-06-06 16:10:42,FALSE,NA,"1004395165765664769",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","dontriana",0,FALSE,FALSE,NA,NA
"RT @monerorape: Otro problemita. Cartón en @El_Chamuco #Meade #Odebrecht https://t.co/oSMJk7fD0X",FALSE,0,NA,2018-06-06 16:10:05,FALSE,NA,"1004395009620099079",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rosa_sagrario",375,TRUE,FALSE,NA,NA
"De las canciones oficiales, y no oficiales, de #AMLO, #Meade y #ElBronco, todas están horribles pero ""Yo te amlo"" e… https://t.co/uTx5KEPYFP",FALSE,0,NA,2018-06-06 16:08:32,TRUE,NA,"1004394618652446720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","janeth_joplin",0,FALSE,FALSE,NA,NA
"RT @monerorape: Otro problemita. Cartón en @El_Chamuco #Meade #Odebrecht https://t.co/oSMJk7fD0X",FALSE,0,NA,2018-06-06 16:07:57,FALSE,NA,"1004394471792967680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","favitia1966",375,TRUE,FALSE,NA,NA
"RT @monerorape: Otro problemita. Cartón en @El_Chamuco #Meade #Odebrecht https://t.co/oSMJk7fD0X",FALSE,0,NA,2018-06-06 16:07:54,FALSE,NA,"1004394460858351617",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","usuario_pako1",375,TRUE,FALSE,NA,NA
